word: This, frequency: 1, nr of lines: 1
word: is, frequency: 7, nr of lines: 7
word: my, frequency: 2, nr of lines: 2
word: boss, frequency: 1, nr of lines: 1
word: Jonathan, frequency: 1, nr of lines: 1
word: Hart, frequency: 1, nr of lines: 1
word: a, frequency: 2, nr of lines: 2
word: self-made, frequency: 1, nr of lines: 1
word: millionaire, frequency: 1, nr of lines: 1
word: e, frequency: 1, nr of lines: 1
word: quite, frequency: 1, nr of lines: 1
word: guy, frequency: 1, nr of lines: 1
word: This, frequency: 1, nr of lines: 1
word: Mrs, frequency: 1, nr of lines: 1
word: H, frequency: 1, nr of lines: 1
word: she, frequency: 2, nr of lines: 2
word: gorgeous, frequency: 1, nr of lines: 1
word: one, frequency: 1, nr of lines: 1
word: lady, frequency: 1, nr of lines: 1
word: who, frequency: 1, nr of lines: 1
word: knows, frequency: 1, nr of lines: 1
word: ow, frequency: 1, nr of lines: 1
word: to, frequency: 1, nr of lines: 1
word: take, frequency: 2, nr of lines: 2
word: care, frequency: 2, nr of lines: 2
word: of, frequency: 3, nr of lines: 3
word: erself, frequency: 1, nr of lines: 1
word: By, frequency: 1, nr of lines: 1
word: the, frequency: 1, nr of lines: 1
word: way, frequency: 1, nr of lines: 1
word: name, frequency: 1, nr of lines: 1
word: Max, frequency: 1, nr of lines: 1
word: I, frequency: 1, nr of lines: 1
word: both, frequency: 1, nr of lines: 1
word: them, frequency: 1, nr of lines: 1
word: which, frequency: 1, nr of lines: 1
word: not, frequency: 1, nr of lines: 1
word: easy, frequency: 1, nr of lines: 1
word: because, frequency: 1, nr of lines: 1
word: when, frequency: 1, nr of lines: 1
word: they, frequency: 1, nr of lines: 1
word: met, frequency: 1, nr of lines: 1
word: it, frequency: 1, nr of lines: 1
word: was, frequency: 1, nr of lines: 1
word: MURDER, frequency: 1, nr of lines: 1
